tweet_id,created_date,username,screen_name,followers_count,friends_count,retweet_count,retweeted_username,content_type,mentioned_users,text
1493087394656137219,Mon Feb 14 04:59:09 +0000 2022,Jacob Riley - KLBK,jrileywx,1694,612,2,Jacob Riley - KLBK,Tweet (self-loop),[],"Another round of rain, and possibly even snow is expected by the middle of the work week! Until then, fire weather conditions will remain a huge concern for the South Plains. I have all the details in your latest forecast. #KLBK #TXwx #SPwx #NMwx #LubWX

https://t.co/wKxrLFYSHw"
1493087305648717824,Mon Feb 14 04:58:48 +0000 2022,Kevin ☆ AnEAShasbeenissued,BOIEASfan03,156,196,25,NWS Shreveport,RT,['NWS Shreveport'],"RT @NWSShreveport: Stumped on a gift for #ValetinesDay2022? 
Nothing says I love you more than additional ways to receive weather warnings…"
1493086442398134274,Mon Feb 14 04:55:22 +0000 2022,NWS Brownsville,NWSBrownsville,16427,1546,1,NWS Brownsville,Tweet (self-loop),[],Lots of high clouds to keep temperatures from falling to low tonight.  Nice Cool lows and light winds for all of Deep South Texas. #txwx https://t.co/ytNK3HLfYe
1493086375394033668,Mon Feb 14 04:55:06 +0000 2022,The Dalhart Texan,thedalharttexan,47,59,1,NWS Amarillo,RT,['NWS Amarillo'],"RT @NWSAmarillo: While we could still see some winter precip Wed into Thurs (20 to 30 percent chance), our main focus right now is for incr…"
1493085424952266755,Mon Feb 14 04:51:20 +0000 2022,KTEN News,KTENnews,9500,160,3,Mandy Bailey,RT,['Mandy Bailey'],RT @MandyBaileyWX: WEDNESDAY SEVERE || Rain starts early Wednesday before storms build in by the evening. Right now the wind threat appears…
1493085424859889667,Mon Feb 14 04:51:20 +0000 2022,KTEN Weather,KTENweather,859,53,3,Mandy Bailey,RT,['Mandy Bailey'],RT @MandyBaileyWX: WEDNESDAY SEVERE || Rain starts early Wednesday before storms build in by the evening. Right now the wind threat appears…
1493085381700554753,Mon Feb 14 04:51:09 +0000 2022,KTEN News,KTENnews,9500,160,2,Mandy Bailey,RT,['Mandy Bailey'],RT @MandyBaileyWX: 70s and sunshine heading into Valentine's Day. Fire weather will be a concern Monday afternoon. #okwx #txwx https://t.co…
1493085367200792576,Mon Feb 14 04:51:06 +0000 2022,KTEN Weather,KTENweather,859,53,2,Mandy Bailey,RT,['Mandy Bailey'],RT @MandyBaileyWX: 70s and sunshine heading into Valentine's Day. Fire weather will be a concern Monday afternoon. #okwx #txwx https://t.co…
1493085329603051522,Mon Feb 14 04:50:57 +0000 2022,Mandy Bailey,MandyBaileyWX,3171,850,2,Mandy Bailey,Tweet (self-loop),[],70s and sunshine heading into Valentine's Day. Fire weather will be a concern Monday afternoon. #okwx #txwx https://t.co/9XNdDi4Aws
1493084478968844290,Mon Feb 14 04:47:34 +0000 2022,Akhenaten jr,Toquiojr,4625,5167,28,Jonah Lange,RT,['Jonah Lange'],RT @jonahlange_: Storms exploding in Texas #wxtwitter #txwx https://t.co/egkuS6EVJC
1493077111715897347,Mon Feb 14 04:18:18 +0000 2022,Hudspeth County Herald,hudspethherald,11,16,2,NWS El Paso,RT,['NWS El Paso'],RT @NWSElPaso: Lovely weather for a day built around love. We couldn't have scripted it better ourselves.  #nmwx #txwx https://t.co/Tvl0v01…
1493074952785997827,Mon Feb 14 04:09:43 +0000 2022,Angelina,AngelinasWorld,589,1019,3,Storm Chaser Houston,RT,"['Storm Chaser Houston', 'KHOU 11 News Houston', 'Kim Castro', 'liz roldan']",RT @PastorJaimeG: #Houston it is C🥶LD on this #UFC271 night at 41° soon to be 32° by morning. @KHOU @KimCastroWX @lizroldanTX @BillBishopKH…
1493074443333210117,Mon Feb 14 04:07:41 +0000 2022,Brenden Mincheff,BrendenMincheff,641,642,0,Brenden Mincheff,Tweet (self-loop),[],"Here's what you can expect in Midland-Odessa for the next three days.

#StormTracker9 #TXwx https://t.co/DJBoADcfD6"
1493074364027318277,Mon Feb 14 04:07:23 +0000 2022,David's Weather Station,WeatherDavid,846,4925,3,Mike Morgan,RT,['Mike Morgan'],"RT @MikeMorganKFOR: RISK FOR SEVERE STORMS near sunset Wednesday into overnight. Storms, some severe moving very rapidly eastward. Threat f…"
1493072521285050368,Mon Feb 14 04:00:03 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 10:00 PM Temp= 40.6°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493072512632164360,Mon Feb 14 04:00:01 +0000 2022,SachseWx,sachseweather,95,19,0,SachseWx,Tweet (self-loop),[],10:00 PM Weather Conditions at Sachse #dfwwx #txwx #sachsewx #sachse https://t.co/eftbyucChy
1493072510677618691,Mon Feb 14 04:00:01 +0000 2022,Lake Alan Henry Weather,lahwx,230,79,0,Lake Alan Henry Weather,Tweet (self-loop),[],"Lake Alan Henry - Justiceburg #TX @ 10:00 PM - Temp: 45 (H:67/L:24), Hum: 32 %, DP: 16,Wind: N 3 G 5.0 mph,Rain: 0.00 in. #txwx"
1493072098058768385,Mon Feb 14 03:58:22 +0000 2022,Aaron V,PoliticsOfFear,2805,528,3,Mike Morgan,RT,['Mike Morgan'],"RT @MikeMorganKFOR: RISK FOR SEVERE STORMS near sunset Wednesday into overnight. Storms, some severe moving very rapidly eastward. Threat f…"
1493071300599894018,Mon Feb 14 03:55:12 +0000 2022,Chief Meteorologist John Harris,JohnHarrisWx,519,417,0,Chief Meteorologist John Harris,Tweet (self-loop),[],Valentine's Day Forecast #phwx #txwx #okwx #nmwx #okwx #lubwx #MYAMARILLO #KAMRwx https://t.co/2zEMjYYxYc
1493070625971347460,Mon Feb 14 03:52:31 +0000 2022,Chase Benton,chase_benton1,1025,1687,0,Chase Benton,Tweet (self-loop),[],"NAM shows a few severe storms forming west of Dallas Wednesday night, moving east. #txwx https://t.co/BP1uh6jLzM"
1493069555597549569,Mon Feb 14 03:48:16 +0000 2022,KXAN Weather,KXAN_Weather,45740,1456,0,KXAN Weather,Tweet (self-loop),[],"A spring-like storm is forecast to clip our area late Wednesday night, bringing a slight risk of severe storms. #txwx https://t.co/AIBsk14ltc"
1493069228907417607,Mon Feb 14 03:46:58 +0000 2022,City of Wylie OEM,WylieOEM,1171,309,17,NWS Fort Worth,RT,['NWS Fort Worth'],RT @NWSFortWorth: Not much has changed with the forecast for the rain &amp; storm chances arriving Wednesday. We are monitoring the threat for…
1493068548457078789,Mon Feb 14 03:44:16 +0000 2022,Andrew Samet,andrewsametwx,292,741,0,Andrew Samet,Tweet (self-loop),[],"After a cold start to our Monday, we warm up into the upper-60s to low-70s in the afternoon! #txwx https://t.co/U9XoSh9fwN"
1493067302429933573,Mon Feb 14 03:39:19 +0000 2022,Mike Morgan,MikeMorganKFOR,10476,54,3,Mike Morgan,Tweet (self-loop),[],"RISK FOR SEVERE STORMS near sunset Wednesday into overnight. Storms, some severe moving very rapidly eastward. Threat for nighttime tornadoes is there, esp. SE OK., NE TX., into SW AR. #okwx #arwx #txwx Mike https://t.co/efE5XTY78J"
1493064468909244418,Mon Feb 14 03:28:03 +0000 2022,Thomas A VandenOever,TAVandy1,193,817,17,NWS Fort Worth,RT,['NWS Fort Worth'],RT @NWSFortWorth: Not much has changed with the forecast for the rain &amp; storm chances arriving Wednesday. We are monitoring the threat for…
1493063398401224708,Mon Feb 14 03:23:48 +0000 2022,Mandy Bailey,MandyBaileyWX,3171,850,3,Mandy Bailey,Tweet (self-loop),[],"WEDNESDAY SEVERE || Rain starts early Wednesday before storms build in by the evening. Right now the wind threat appears to be the main concern. We'll continue to fine tune this forecast as we get closer. https://t.co/q4cInP6rnu 
#okwx #txwx https://t.co/rHahzht2ma"
1493059287022714881,Mon Feb 14 03:07:28 +0000 2022,Maggie Elliot,MaggieMayGISP,63,252,28,Jonah Lange,RT,['Jonah Lange'],RT @jonahlange_: Storms exploding in Texas #wxtwitter #txwx https://t.co/egkuS6EVJC
1493058423025451015,Mon Feb 14 03:04:02 +0000 2022,"Plano, Texas Weather",PlanoWX,824,5,0,"Plano, Texas Weather",Tweet (self-loop),[],"9:00pm Night time/Dry/Clear skies, Temp 50F(H64/L30), Wind NW 0-&gt;22mph, Baro 30.30in, RainToday 0.00in, Hum 34% https://t.co/ETx76dQRWT #dfwwx #txwx #plano"
1493058295380291588,Mon Feb 14 03:03:31 +0000 2022,Peter Soregi,PSoregi,102,1314,38,🎙LoriGrace.crypto,RT,['🎙LoriGrace.crypto'],"RT @lorigraceaz: Take me back to El Paso, Texas, 2019.  Early morning, just before dawn, a storm moved north from Ciudad Juarez, Mexico and…"
1493057744185831426,Mon Feb 14 03:01:20 +0000 2022,Cmore Weather (Central TX),CmoreWeather,64,249,0,Cmore Weather (Central TX),Tweet (self-loop),[],Good evening! Tomorrow will be Sunny with a high of 68F and a low of 43F. Full forecast for Round Rock: https://t.co/hlQCdkZCqQ #atxwx #txwx
1493057414458925064,Mon Feb 14 03:00:01 +0000 2022,Lake Alan Henry Weather,lahwx,230,79,0,Lake Alan Henry Weather,Tweet (self-loop),[],"Lake Alan Henry - Justiceburg #TX @ 9:00 PM - Temp: 46 (H:67/L:24), Hum: 29 %, DP: 16,Wind: N 4 G 6.0 mph,Rain: 0.00 in. #txwx"
1493057412907118594,Mon Feb 14 03:00:01 +0000 2022,SachseWx,sachseweather,95,19,0,SachseWx,Tweet (self-loop),[],9:00 PM Weather Conditions at Sachse #dfwwx #txwx #sachsewx #sachse https://t.co/b1os0T43PN
1493057411040661506,Mon Feb 14 03:00:01 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 09:00 PM Temp= 42.3°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493056352301813760,Mon Feb 14 02:55:48 +0000 2022,AfroVLN,AfroVln,2,6,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493056169707032581,Mon Feb 14 02:55:05 +0000 2022,EthanF_Wx,ethanf_wx,149,632,0,EthanF_Wx,Tweet (self-loop),[],"Sunset vibes (not taken today)
#txwx #sunset https://t.co/91xp0RLCYP"
1493055914940719113,Mon Feb 14 02:54:04 +0000 2022,Demetra Durham,DDurhamBHS,253,279,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493055749769027586,Mon Feb 14 02:53:25 +0000 2022,KLBK Weather,KLBKWeather,442,5,0,KLBK Weather,Tweet (self-loop),[],"A Fire Weather Watch has already been issued for Tuesday, February 15th, 2022! Warmer than average temperatures, gusty winds, and exceptionally dry conditions will result in a critical risk for fire weather. #KLBK #TXwx #NMwx #SPwx #LubWX #FireWX https://t.co/gWSjEXm1hT"
1493055685210345478,Mon Feb 14 02:53:09 +0000 2022,Jacob Riley - KLBK,jrileywx,1694,612,0,Jacob Riley - KLBK,Tweet (self-loop),[],"A Fire Weather Watch has already been issued for Tuesday, February 15th, 2022! Warmer than average temperatures, gusty winds, and exceptionally dry conditions will result in a critical risk for fire weather. #KLBK #TXwx #NMwx #SPwx #LubWX #FireWX https://t.co/3KTJmsh3VP"
1493055096745345028,Mon Feb 14 02:50:49 +0000 2022,Mike LaPoint,MikeLaPointWX,3023,1790,1,Haley Fitzpatrick,RT,['Haley Fitzpatrick'],RT @HFitzpatrickWX: Valentine's Day Forecast: Chilly when we wake up but quickly warming back into those lower 70s by the afternoon with a…
1493054916335706118,Mon Feb 14 02:50:06 +0000 2022,Haley Fitzpatrick,HFitzpatrickWX,1062,615,1,Haley Fitzpatrick,Tweet (self-loop),[],Valentine's Day Forecast: Chilly when we wake up but quickly warming back into those lower 70s by the afternoon with a whole lot of sunshine! #ctxwx #txwx https://t.co/K2I1lgw6Lh
1493054142000123906,Mon Feb 14 02:47:01 +0000 2022,TX Weather,SpringTXWeather,90,71,0,TX Weather,Tweet (self-loop),[],"NWS fcst: TonightClear : , Lo 37°F; MonSunny : , Hi 70°F; MonNightMstly Clear : , Lo 46°F;  https://t.co/ZpRf3HhWR9 #txwx #houwx #txweather #weather"
1493051200371101697,Mon Feb 14 02:35:20 +0000 2022,Cynthia,macemooreann,4,182,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493049190309634048,Mon Feb 14 02:27:21 +0000 2022,KLBK Weather,KLBKWeather,442,5,0,KLBK Weather,Tweet (self-loop),['KLBK News'],"The next several days will feature above-average temperatures, strong winds, critical fire weather conditions, and strong storms! Tune into @KLBKNews tonight at 10PM for all the details in your latest forecast. #KLBK #TXwx #NMwx #SPwx #LubWX #Lubbock #FireWX #SevereWX https://t.co/EllovZEEca"
1493049148475596803,Mon Feb 14 02:27:11 +0000 2022,Jacob Riley - KLBK,jrileywx,1694,612,0,Jacob Riley - KLBK,Tweet (self-loop),['KLBK News'],"The next several days will feature above-average temperatures, strong winds, critical fire weather conditions, and strong storms! Tune into @KLBKNews tonight at 10PM for all the details in your latest forecast. #KLBK #TXwx #NMwx #SPwx #LubWX #Lubbock #FireWX #SevereWX https://t.co/1vXvXE9gJF"
1493049011628036096,Mon Feb 14 02:26:38 +0000 2022,Brenden Mincheff,BrendenMincheff,641,642,0,Brenden Mincheff,Tweet (self-loop),[],"A look at tomorrow's sunrise and sunset times for Midland-Odessa.

#StormTracker9 #TXwx https://t.co/ngcR2Ydkuh"
1493045673842913283,Mon Feb 14 02:13:22 +0000 2022,Kevin R. Tipple,kevinrtipple,2528,2510,2,Dan Henry,RT,['Dan Henry'],RT @Fox4Weather: Your current temps... #txwx #dfwwx https://t.co/wvIkNwX39Y
1493045151933030401,Mon Feb 14 02:11:18 +0000 2022,Todd Hunter,toddahunter,7509,1405,1,Port Aransas Explorer,RT,['Port Aransas Explorer'],"RT @PortAransasTex: Sunset today February 13, 2022 at 06:17PM in Port Aransas. Currently Fair and 53deg. #portaransas #portaransastex #txwx"
1493043834674155520,Mon Feb 14 02:06:04 +0000 2022,FOX 4 NEWS,FOX4,597903,719,2,Dan Henry,RT,['Dan Henry'],RT @Fox4Weather: Your current temps... #txwx #dfwwx https://t.co/wvIkNwX39Y
1493042989307994112,Mon Feb 14 02:02:42 +0000 2022,Dan Henry,Fox4Weather,27719,143,2,Dan Henry,Tweet (self-loop),[],Your current temps... #txwx #dfwwx https://t.co/wvIkNwX39Y
1493042555792941057,Mon Feb 14 02:00:59 +0000 2022,William Cole🌪,TXWXTracker,20880,228,0,William Cole🌪,Tweet (self-loop),[],This Evenings North Texas Hazardous Weather Forecast - https://t.co/cq5Dk5l4Gp  #dfwwx #txwx https://t.co/3D7rCzUU0S
1493042319221796867,Mon Feb 14 02:00:02 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 08:00 PM Temp= 45.9°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493042313949548549,Mon Feb 14 02:00:01 +0000 2022,SachseWx,sachseweather,95,19,0,SachseWx,Tweet (self-loop),[],8:00 PM Weather Conditions at Sachse #dfwwx #txwx #sachsewx #sachse https://t.co/SWvwcQcNFJ
1493042312049483780,Mon Feb 14 02:00:01 +0000 2022,Lake Alan Henry Weather,lahwx,230,79,0,Lake Alan Henry Weather,Tweet (self-loop),[],"Lake Alan Henry - Justiceburg #TX @ 8:00 PM - Temp: 50 (H:67/L:24), Hum: 26 %, DP: 16,Wind: N 5 G 7.0 mph,Rain: 0.00 in. #txwx"
1493037451757113348,Mon Feb 14 01:40:42 +0000 2022,Mesfen,Mesfen_Nigusse,63,172,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493037326439788545,Mon Feb 14 01:40:12 +0000 2022,Yadi Pagan,PaganYadi,320,726,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493035941958664195,Mon Feb 14 01:34:42 +0000 2022,Brenden Mincheff,BrendenMincheff,641,642,0,Brenden Mincheff,Tweet (self-loop),[],"Let's check in on the precip tracker and see how we're doing here in Midland-Odessa. 🌧️

#StormTracker9 #TXwx #NMwx https://t.co/OaLuRg927C"
1493033654678953989,Mon Feb 14 01:25:37 +0000 2022,Andrew Samet,andrewsametwx,292,741,0,Andrew Samet,Tweet (self-loop),[],"Hope everyone is enjoying the Super Bowl! Tonight will be another cold night, but it won't be as cold as what we saw last night. #txwx https://t.co/Y5WTy29DY7"
1493031314928422914,Mon Feb 14 01:16:19 +0000 2022,Iurguen Otowicz,Iurguen,10,186,28,Jonah Lange,RT,['Jonah Lange'],RT @jonahlange_: Storms exploding in Texas #wxtwitter #txwx https://t.co/egkuS6EVJC
1493028871498829825,Mon Feb 14 01:06:36 +0000 2022,Andrew Hatter,Andrew_weather,390,4843,2,NWS Midland,RT,['NWS Midland'],RT @NWSMidland: Happy Sunday evening West Texas &amp; Southeast New Mexico! Tomorrow is shaping up to feature some lovely weather for your Vale…
1493028228067479561,Mon Feb 14 01:04:03 +0000 2022,"Plano, Texas Weather",PlanoWX,824,5,0,"Plano, Texas Weather",Tweet (self-loop),[],"7:00pm Night time/Dry/Clear skies, Temp 56F(H64/L30), Wind NW 2-&gt;22mph, Baro 30.29in, RainToday 0.00in, Hum 28% https://t.co/ETx76dQRWT #dfwwx #txwx #plano"
1493027846700212227,Mon Feb 14 01:02:32 +0000 2022,William Cole🌪,TXWXTracker,20880,228,0,William Cole🌪,Tweet (self-loop),[],Current Set Up Across the Nation - https://t.co/gcYnE1Sdo2  #dfwwx #txwx https://t.co/tYBVGsaFKm
1493027590088630272,Mon Feb 14 01:01:31 +0000 2022,Kish,SousLeRadar,2078,2099,2,NWS Midland,RT,['NWS Midland'],RT @NWSMidland: Happy Sunday evening West Texas &amp; Southeast New Mexico! Tomorrow is shaping up to feature some lovely weather for your Vale…
1493027335213391875,Mon Feb 14 01:00:30 +0000 2022,NWS Midland,NWSMidland,11814,153,2,NWS Midland,Tweet (self-loop),[],Happy Sunday evening West Texas &amp; Southeast New Mexico! Tomorrow is shaping up to feature some lovely weather for your Valentine's Day with high temperatures reaching the 70s for most under a cloud-free sky. 😍😎#txwx #nmwx https://t.co/rp6W6jhMKU
1493027216132874247,Mon Feb 14 01:00:02 +0000 2022,Lake Alan Henry Weather,lahwx,230,79,0,Lake Alan Henry Weather,Tweet (self-loop),[],"Lake Alan Henry - Justiceburg #TX @ 7:00 PM - Temp: 55 (H:67/L:24), Hum: 21 %, DP: 16,Wind: N 4 G 11.0 mph,Rain: 0.00 in. #txwx"
1493027211649204224,Mon Feb 14 01:00:01 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 07:00 PM Temp= 50.4°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493027211594633224,Mon Feb 14 01:00:01 +0000 2022,SachseWx,sachseweather,95,19,0,SachseWx,Tweet (self-loop),[],7:00 PM Weather Conditions at Sachse #dfwwx #txwx #sachsewx #sachse https://t.co/3T2bIfAd4H
1493025772747071488,Mon Feb 14 00:54:17 +0000 2022,SonofThor,txsonofthor,2263,2660,38,Texas Storm Chasers,RT,['Texas Storm Chasers'],"RT @TxStormChasers: Heads up, y'all! Severe Weather chances return late Wednesday into Thursday this week.  Strong storms, supercells possi…"
1493025291052191745,Mon Feb 14 00:52:23 +0000 2022,"Son Of Sobieski, Vassal of Christ the King",Ken47188750,3127,4997,28,Jonah Lange,RT,['Jonah Lange'],RT @jonahlange_: Storms exploding in Texas #wxtwitter #txwx https://t.co/egkuS6EVJC
1493024375184015363,Mon Feb 14 00:48:44 +0000 2022,Rebecca Barnes LMT,Rebecca__LMT,10,27,28,Jonah Lange,RT,['Jonah Lange'],RT @jonahlange_: Storms exploding in Texas #wxtwitter #txwx https://t.co/egkuS6EVJC
1493023759980281856,Mon Feb 14 00:46:18 +0000 2022,Hannah ⚾,hannahbaugh,3921,841,2,Weather Intercepts,RT,"['Weather Intercepts', 'Texas Storm Chasers', 'Ryan Hall, Y’all', 'James Spann']","RT @Wx_Intercepts: Super Bowl Sunset from above Frisco, TX overlooking Lake Lewisville. #txwx #TeamTX @TxStormChasers @ryanhallyall @spann…"
1493023463736492035,Mon Feb 14 00:45:07 +0000 2022,Texas Storm Chasers,TxStormChasers,265931,90309,2,Weather Intercepts,RT,"['Weather Intercepts', 'Texas Storm Chasers', 'Ryan Hall, Y’all', 'James Spann']","RT @Wx_Intercepts: Super Bowl Sunset from above Frisco, TX overlooking Lake Lewisville. #txwx #TeamTX @TxStormChasers @ryanhallyall @spann…"
1493021264079986693,Mon Feb 14 00:36:23 +0000 2022,Weather Intercepts,Wx_Intercepts,1211,251,2,Weather Intercepts,Tweet (self-loop),"['Texas Storm Chasers', 'Ryan Hall, Y’all', 'James Spann', 'Dan Henry', 'Jesse Hawila', 'Pete Delkus']","Super Bowl Sunset from above Frisco, TX overlooking Lake Lewisville. #txwx #TeamTX @TxStormChasers @ryanhallyall @spann @Fox4Weather @JesseWFAA @wfaaweather https://t.co/yEr1bNva5e"
1493020309162758144,Mon Feb 14 00:32:35 +0000 2022,Andrew Hatter,Andrew_weather,390,4843,2,NWS El Paso,RT,['NWS El Paso'],RT @NWSElPaso: Lovely weather for a day built around love. We couldn't have scripted it better ourselves.  #nmwx #txwx https://t.co/Tvl0v01…
1493020176278859776,Mon Feb 14 00:32:03 +0000 2022,NWS El Paso,NWSElPaso,15536,134,2,NWS El Paso,Tweet (self-loop),[],Lovely weather for a day built around love. We couldn't have scripted it better ourselves.  #nmwx #txwx https://t.co/Tvl0v01wQT
1493019999820259336,Mon Feb 14 00:31:21 +0000 2022,Andrew Hatter,Andrew_weather,390,4843,1,NWS Lake Charles,RT,['NWS Lake Charles'],RT @NWSLakeCharles: Clear skies will be expected tonight with lows in the low to mid 30s inland and upper 30s to low 40s along the coast. M…
1493019556268449793,Mon Feb 14 00:29:35 +0000 2022,NWS Lake Charles,NWSLakeCharles,15230,318,1,NWS Lake Charles,Tweet (self-loop),[],Clear skies will be expected tonight with lows in the low to mid 30s inland and upper 30s to low 40s along the coast. Mostly sunny skies will be expected tomorrow with highs in the upper 60s inland and low 60s along the coast. #txwx #lawx https://t.co/A8hhyX9AFb
1493018179202859013,Mon Feb 14 00:24:07 +0000 2022,⚡️ Simple Weather Alert,SimpleWeather4U,1817,167,0,⚡️ Simple Weather Alert,Tweet (self-loop),[],"NWS Alert&gt; Rip Current Statement is in effect in Coastal Willacy, Coastal Cameron and Coastal Kenedy Counties in TX until 6 AM #txwx https://t.co/pIEJdBZZA3"
1493017935635521537,Mon Feb 14 00:23:09 +0000 2022,Hannah ⚾,hannahbaugh,3921,841,3,Mandy Bailey,RT,['Mandy Bailey'],RT @MandyBaileyWX: Fire danger increases Monday and Tuesday before storms and the potential for severe weather arrives Wednesday into early…
1493017914525593604,Mon Feb 14 00:23:04 +0000 2022,Port Aransas Explorer,PortAransasTex,4561,487,1,Port Aransas Explorer,Tweet (self-loop),[],"Sunset today February 13, 2022 at 06:17PM in Port Aransas. Currently Fair and 53deg. #portaransas #portaransastex #txwx"
1493012119918424066,Mon Feb 14 00:00:02 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 06:00 PM Temp= 55.8°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493012116730785797,Mon Feb 14 00:00:02 +0000 2022,John Stasulli,JohnStasulli,233,264,0,John Stasulli,Tweet (self-loop),[],"Good evening Killeen! It is currently 06:00PM with a temp of 65.3°F, Hum 24﹪, Winds from the SW at 0.0 to 0.9mph, Rain 0.00in and Baro 29.58inHg #txwx #ctxwx #ctxrunning"
